,query,@type,resultScore,result.@id,result.detailedDescription.url,result.detailedDescription.articleBody,result.detailedDescription.license,result.name,result.image.contentUrl,result.image.url,result.description,result.url,result.@type,query_time
0,Apple,EntitySearchResult,25834.8046875,kg:/m/0k8z,https://en.wikipedia.org/wiki/Apple_Inc.,"Apple Inc. is an American multinational technology company headquartered in Cupertino, California. Apple is the world's largest technology company by revenue, with US$394.3 billion in 2022 revenue. ",https://en.wikipedia.org/wiki/Wikipedia:Text_of_Creative_Commons_Attribution-ShareAlike_3.0_Unported_License,Apple,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTMHrvLPmr_8yVjoTYsyxhRGtPMcA90bcJl9_RehtJU0tr64KNR,https://commons.wikimedia.org/wiki/File:Apple_logo_black.svg,Technology company,http://www.apple.com/it/,"['Thing', 'Organization', 'Corporation']",2023-06-23 17:09:17.148480+00:00
1,Apple,EntitySearchResult,7646.62158203125,kg:/m/014j1m,https://en.wikipedia.org/wiki/Apple,"An apple is a round, edible fruit produced by an apple tree. Apple trees are cultivated worldwide and are the most widely grown species in the genus Malus. The tree originated in Central Asia, where its wild ancestor, Malus sieversii, is still found. ",https://en.wikipedia.org/wiki/Wikipedia:Text_of_Creative_Commons_Attribution-ShareAlike_3.0_Unported_License,Apple,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRiYeXcsfTT9KvDS6lUUSFDNOzCP0lWAO6swJuY1Q8XVzPaVT9a,https://commons.wikimedia.org/wiki/File:Jablko.jpg,Fruit,,['Thing'],2023-06-23 17:09:17.148480+00:00
2,Apple,EntitySearchResult,4132.06494140625,kg:/m/09889g,https://en.wikipedia.org/wiki/Michael_Jackson,"Michael Joseph Jackson was an American singer, songwriter, dancer, and philanthropist. Known as the ""King of Pop"", he is regarded as one of the most significant cultural figures of the 20th century. ",https://en.wikipedia.org/wiki/Wikipedia:Text_of_Creative_Commons_Attribution-ShareAlike_3.0_Unported_License,Michael Jackson,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ88yKwCAPje6Tbv-wxmj0M0rRfozsjh_uZByKmNnoPlMyI1r5-,https://commons.wikimedia.org/wiki/File:George_H._W._Bush_with_Michael_Jackson_(cropped).png,American singer-songwriter,http://www.michaeljackson.com/,"['Thing', 'Person']",2023-06-23 17:09:17.148480+00:00
3,Apple,EntitySearchResult,2943.400390625,kg:/m/01h7pc,https://en.wikipedia.org/wiki/Applebee's,"Applebee's Restaurants LLC. is an American company that develops, franchises, and operates the Applebee's Neighborhood Grill + Bar restaurant chain. ",https://en.wikipedia.org/wiki/Wikipedia:Text_of_Creative_Commons_Attribution-ShareAlike_3.0_Unported_License,"Applebee’s International, Inc.",https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRKJC8c__UUhwBOZXjkXEcr6cNUNzYGfwL2LKiU1nRfWWJ0yfZZ,https://de.wikipedia.org/wiki/Applebee%E2%80%99s,Restaurant chain,http://www.applebees.com/,"['Thing', 'Organization', 'Corporation', 'Restaurant']",2023-06-23 17:09:17.148480+00:00
4,Apple,EntitySearchResult,2858.556396484375,kg:/m/011smb42,https://en.wikipedia.org/wiki/Apple_Watch,"The Apple Watch is a line of smartwatches produced by Apple Inc. It incorporates fitness tracking, health-oriented capabilities, and wireless telecommunication, and integrates with iOS and other Apple products and services. ",https://en.wikipedia.org/wiki/Wikipedia:Text_of_Creative_Commons_Attribution-ShareAlike_3.0_Unported_License,Apple Watch,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSY3YscM-aEUIsauKuWlxAV1dZXpNH6ZhWFWO8XMym-ClBYb4J8,https://commons.wikimedia.org/wiki/File:Apple_Watch_4_-_California_Dial.jpg,Watch,,"['Thing', 'ProductModel']",2023-06-23 17:09:17.148480+00:00
5,Apple,EntitySearchResult,2559.552978515625,kg:/g/11c1s04k8p,https://en.wikipedia.org/wiki/AirPods,"AirPods are wireless Bluetooth earbuds designed by Apple Inc. They were first announced on September 7, 2016, alongside the iPhone 7. Within two years, they became Apple's most popular accessory. AirPods are Apple's entry-level wireless headphones, sold alongside the AirPods Pro and AirPods Max.
",https://en.wikipedia.org/wiki/Wikipedia:Text_of_Creative_Commons_Attribution-ShareAlike_3.0_Unported_License,AirPods,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcR8NbcCIWchE-ugcxTxxeyu7iz6zCVKOJ907dhytJjMIxtlbUjA,https://commons.wikimedia.org/wiki/File:AirPods.jpg,,,"['Thing', 'ProductModel']",2023-06-23 17:09:17.148480+00:00
6,Apple,EntitySearchResult,2526.199462890625,kg:/m/027lnzs,https://en.wikipedia.org/wiki/IPhone,"iPhone is a line of smartphones produced by Apple Inc. that use Apple's own iOS mobile operating system. The first-generation iPhone was announced by then-Apple CEO Steve Jobs on January 9, 2007. ",https://en.wikipedia.org/wiki/Wikipedia:Text_of_Creative_Commons_Attribution-ShareAlike_3.0_Unported_License,iPhone,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSNeRSJ9f8Rpb-niiFeqFGsUiljqwyQto5Km5v_kOkFiPEXtdUY,https://en.wikipedia.org/wiki/IPhone_X,Mobile phone,,"['Thing', 'ProductModel']",2023-06-23 17:09:17.148480+00:00
7,Apple,EntitySearchResult,2327.294921875,kg:/g/1224z3w6,https://en.wikipedia.org/wiki/IPad,The iPad is a brand of iOS and iPadOS-based tablet computers that are developed by Apple Inc. The iPad was conceived before the related iPhone but the iPhone was developed and released first. ,https://en.wikipedia.org/wiki/Wikipedia:Text_of_Creative_Commons_Attribution-ShareAlike_3.0_Unported_License,iPad,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRBgEBdbd3Wn0SqUpjoFJHRvCsRxYNcj4G0IU_5jxp5gzE_A5R8,https://commons.wikimedia.org/wiki/File:IPad_Pro_Mockup.png,Tablet computer,,"['Thing', 'ProductModel']",2023-06-23 17:09:17.148480+00:00
8,Apple,EntitySearchResult,2231.7060546875,kg:/m/01qd72,https://en.wikipedia.org/wiki/Malus,"Malus is a genus of about 30–55 species of small deciduous trees or shrubs in the family Rosaceae, including the domesticated orchard apple, crab apples and wild apples.
The genus is native to the temperate zone of the Northern Hemisphere.",https://en.wikipedia.org/wiki/Wikipedia:Text_of_Creative_Commons_Attribution-ShareAlike_3.0_Unported_License,Apples,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRX7VUk_wl2qTNA7GxGoBaqOddYcQNPoOY5GG29RhUB9MWJKraw,https://commons.wikimedia.org/wiki/File:Purple_prince_crabapple_tree.JPG,Plant,,['Thing'],2023-06-23 17:09:17.148480+00:00
9,Apple,EntitySearchResult,2017.199951171875,kg:/g/11j0jgqk7p,https://en.wikipedia.org/wiki/AirPods_Pro,"AirPods Pro are wireless Bluetooth in-ear headphones designed by Apple, initially released on October 30, 2019. They are Apple's mid-range wireless headphones, sold alongside the base-level AirPods and highest-end AirPods Max.
",https://en.wikipedia.org/wiki/Wikipedia:Text_of_Creative_Commons_Attribution-ShareAlike_3.0_Unported_License,AirPods Pro,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTcrdwfHgdQ0ORO8G5eVIItbPJg1v4MosGvCnwlArOs3URutgAR,https://commons.wikimedia.org/wiki/File:AirPods_Pro_1.jpg,Wireless headphones,,"['Thing', 'SoftwareApplication', 'ProductModel']",2023-06-23 17:09:17.148480+00:00
